Geo Point;Geo Shape;nom;num_station;nb_bornettes;en_service;rue;mot_directeur;no;nrivoli;commune;code_insee;locations_2016;oid;locations_2019
43.6048803141,1.4452839319;"{""type"": ""MultiPoint"", ""coordinates"": [[1.445283931896369, 43.604880314142]]}";LAFAYETTE;2;22;oui;RUE LAFAYETTE;LAFAYETTE (RUE LAFAYETTE);21;3105554920;Toulouse;31555;65710;287;55297
43.5995226263,1.4454725045;"{""type"": ""MultiPoint"", ""coordinates"": [[1.445472504499364, 43.59952262633322]]}";PLACE ROUAIX;25;17;oui;RUE DES TOURNEURS;TOURNEURS (RUE DES TOURNEURS);1;3105558536;Toulouse;31555;42992;289;47470
43.6032696509,1.44550808378;"{""type"": ""MultiPoint"", ""coordinates"": [[1.44550808377576, 43.60326965092052]]}";POMME;3;19;oui;RUE DE LA POMME;POMME (RUE DE LA POMME);62;3105556988;Toulouse;31555;63413;294;53611
43.5998933097,1.42946748828;"{""type"": ""MultiPoint"", ""coordinates"": [[1.429467488283192, 43.59989330966798]]}";JARDIN RAYMOND VI;81;33;oui;ALL CHARLES DE FITTE;FITTE (ALL CHARLES DE FITTE);76;3105551920;Toulouse;31555;18722;302;16201
43.605654716,1.42824720785;"{""type"": ""MultiPoint"", ""coordinates"": [[1.428247207846001, 43.605654715976485]]}";SEJOURNE  -  AMIDONNIERS;83;15;oui;AV PAUL SEJOURNE;SEJOURNE (AV PAUL SEJOURNE);2;3105556648;Toulouse;31555;37976;308;27875
43.6068755457,1.43072063283;"{""type"": ""MultiPoint"", ""coordinates"": [[1.430720632828121, 43.606875545667684]]}";LECLERC -  BARCELONE;85;20;oui;BD DU MARECHAL LECLERC;LECLERC (BD DU MARECHAL LECLERC);2;3105555656;Toulouse;31555;32145;309;22938
43.6057674225,1.44648864765;"{""type"": ""MultiPoint"", ""coordinates"": [[1.44648864765214, 43.605767422524906]]}";PLACE VICTOR HUGO;7;26;oui;RUE DU REMPART VILLENEUVE;VILLENEUVE (RUE DU REMPART VILLENEUVE);6;3105557388;Toulouse;31555;24768;325;18398
43.6095960569,1.44608782302;"{""type"": ""MultiPoint"", ""coordinates"": [[1.446087823020401, 43.60959605693229]]}";SAINT LAZARE;34;17;oui;PETITE-RUE SAINT LAZARE;LAZARE (PETITE-RUE SAINT LAZARE);2;3105557876;Toulouse;31555;25102;330;8859
43.6270624409,1.43402945575;"{""type"": ""MultiPoint"", ""coordinates"": [[1.434029455745733, 43.62706244089111]]}";BARRIERE DE PARIS;125;20;oui;BRE DE PARIS;PARIS (BRE DE PARIS);00;310555B279;Toulouse;31555;16780;333;18715
43.6029215981,1.45172699116;"{""type"": ""MultiPoint"", ""coordinates"": [[1.451726991157842, 43.602921598097005]]}";CARNOT ROLAND;22;20;oui;BD LAZARE CARNOT;CARNOT (BD LAZARE CARNOT);24;3105555132;Toulouse;31555;10516;339;10159
43.6046781027,1.44952828207;"{""type"": ""MultiPoint"", ""coordinates"": [[1.449528282070613, 43.60467810271863]]}";CARNOT -  TROIS JOURNEES;20;27;oui;BD LAZARE CARNOT;CARNOT (BD LAZARE CARNOT);69;3105555132;Toulouse;31555;26414;340;25221
43.5978399224,1.45165488886;"{""type"": ""MultiPoint"", ""coordinates"": [[1.451654888855737, 43.59783992243565]]}";PALAIS NIEL;44;20;oui;ALL FORAIN FRANCOIS VERDIER;VERDIER (ALL FORAIN FRANCOIS VERDIER);1;3105553396;Toulouse;31555;10252;342;8984
43.5951394323,1.43254537056;"{""type"": ""MultiPoint"", ""coordinates"": [[1.432545370556561, 43.59513943226877]]}";FITTE -  CUGNAUX;72;18;oui;ALL CHARLES DE FITTE;FITTE (ALL CHARLES DE FITTE);23;3105551920;Toulouse;31555;8168;351;8280
43.5966227093,1.45560757526;"{""type"": ""MultiPoint"", ""coordinates"": [[1.455607575263943, 43.596622709250916]]}";SABATIER - PORT ST SAUVEUR;100;19;oui;ALL PAUL SABATIER;SABATIER (ALL PAUL SABATIER);16;3105556644;Toulouse;31555;20947;358;17777
43.6045672253,1.45371722347;"{""type"": ""MultiPoint"", ""coordinates"": [[1.453717223468111, 43.60456722531125]]}";COLOMBETTE;40;17;oui;RUE DE LA COLOMBETTE;COLOMBETTE (RUE DE LA COLOMBETTE);41;3105552192;Toulouse;31555;32715;362;29358
43.6126464509,1.44845740689;"{""type"": ""MultiPoint"", ""coordinates"": [[1.448457406890869, 43.61264645090912]]}";ROQUELAINE;60;21;oui;PL ROQUELAINE;ROQUELAINE (PL ROQUELAINE);32;3105557600;Toulouse;31555;23566;367;23682
43.6096633889,1.44695335979;"{""type"": ""MultiPoint"", ""coordinates"": [[1.446953359788837, 43.609663388943005]]}";PLACE JEANNE D'ARC;35;20;oui;RUE RAYMOND IV;RAYMOND IV (RUE RAYMOND IV);1;3105557320;Toulouse;31555;18099;368;22939
43.6084261192,1.42386267118;"{""type"": ""MultiPoint"", ""coordinates"": [[1.423862671181387, 43.60842611920049]]}";BRIENNE  -  PASSERELLE;106;15;oui;ALL DE BRIENNE;BRIENNE (ALL DE BRIENNE);99;3105551424;Toulouse;31555;20097;377;17761
43.6103128937,1.42043916058;"{""type"": ""MultiPoint"", ""coordinates"": [[1.420439160583489, 43.61031289373867]]}";BARCELONE - PONT JUMEAUX;120;20;oui;ALL DE BARCELONE;BARCELONE (ALL DE BARCELONE);152;3105550840;Toulouse;31555;22973;383;15571
43.5975150929,1.42871240964;"{""type"": ""MultiPoint"", ""coordinates"": [[1.428712409642748, 43.59751509289087]]}";BILLIERES  -  CHAMPETRE;105;17;oui;AV ETIENNE BILLIERES;BILLIERES (AV ETIENNE BILLIERES);12;3105553116;Toulouse;31555;19595;388;14544
43.5967115559,1.42430427461;"{""type"": ""MultiPoint"", ""coordinates"": [[1.424304274606454, 43.59671155589376]]}";BILLIERES -  PATTE D OIE;130;16;oui;AV ETIENNE BILLIERES;BILLIERES (AV ETIENNE BILLIERES);66T;3105553116;Toulouse;31555;21237;395;21848
43.593531204,1.4530424939;"{""type"": ""MultiPoint"", ""coordinates"": [[1.45304249390177, 43.59353120399918]]}";MISTRAL -  FLEURANCE;102;20;oui;ALL FREDERIC MISTRAL;MISTRAL (ALL FREDERIC MISTRAL);18;3105553584;Toulouse;31555;16925;400;13661
43.5897092409,1.45595100743;"{""type"": ""MultiPoint"", ""coordinates"": [[1.455951007426741, 43.589709240949425]]}";DEMOISELLES - BEGUE;127;16;oui;RUE BEGUE DAVID;DAVID (RUE BEGUE DAVID);1;3105550980;Toulouse;31555;13516;405;11646
43.6023178414,1.4255371289;"{""type"": ""MultiPoint"", ""coordinates"": [[1.425537128903928, 43.60231784140225]]}";THEATRE GARONNE;95;20;oui;AV DU CHATEAU D EAU;EAU (AV DU CHATEAU D EAU);4;3105551976;Toulouse;31555;15859;411;15219
43.5935151103,1.42999124571;"{""type"": ""MultiPoint"", ""coordinates"": [[1.429991245708001, 43.59351511032742]]}";SAINTE LUCIE;37;18;oui;RUE SAINTE LUCIE;LUCIE (RUE SAINTE LUCIE);38;3105558040;Toulouse;31555;11609;412;9000
43.5878725608,1.42458263002;"{""type"": ""MultiPoint"", ""coordinates"": [[1.424582630015673, 43.58787256081305]]}";DEODAT DE SEVERAC;142;20;oui;BD DEODAT DE SEVERAC;SEVERAC (BD DEODAT DE SEVERAC);52;3105552600;Toulouse;31555;9483;417;7112
43.5797667669,1.46001451741;"{""type"": ""MultiPoint"", ""coordinates"": [[1.460014517407888, 43.57976676688246]]}";METRO SAOUZELONG;164;20;oui;AV ALBERT BEDOUCE;BEDOUCE (AV ALBERT BEDOUCE);77;3105550112;Toulouse;31555;8985;436;7715
43.576865802,1.46013616858;"{""type"": ""MultiPoint"", ""coordinates"": [[1.460136168583297, 43.576865801990664]]}";AVIONS LIBELLULES;165;15;oui;AV DES AVIONS;AVIONS (AV DES AVIONS);35;3105550732;Toulouse;31555;3010;439;3023
43.6398670499,1.45228507176;"{""type"": ""MultiPoint"", ""coordinates"": [[1.452285071755724, 43.63986704989834]]}";METRO BOURGES MAUNOURY;175;30;oui;AV MAURICE BOURGES MAUNOURY;MAUNOURY (AV MAURICE BOURGES MAUNOURY);00;3105555789;Toulouse;31555;8090;443;9358
43.6241068134,1.45467901612;"{""type"": ""MultiPoint"", ""coordinates"": [[1.454679016117744, 43.6241068133502]]}";LAPUJADE FLANDRES;167;18;oui;CHE DE LAPUJADE;LAPUJADE (CHE DE LAPUJADE);98;3105555028;Toulouse;31555;8048;446;9316
43.6285741118,1.44819976763;"{""type"": ""MultiPoint"", ""coordinates"": [[1.448199767632987, 43.62857411176388]]}";MAUNOURY PISAN;153;18;oui;AV MAURICE BOURGES MAUNOURY;MAUNOURY (AV MAURICE BOURGES MAUNOURY);9;3105555789;Toulouse;31555;6829;447;7722
