service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
7522,1,1,1,0,0,0,0,20201123,20201125
413,1,1,1,1,1,1,1,20201213,20210211
7500,1,1,1,1,1,1,1,20201213,20210211
7531,1,1,1,1,0,1,0,20201214,20210211
7170,1,1,1,1,1,0,1,20201113,20201211
7521,1,1,1,1,1,1,1,20201113,20201212
362,1,1,1,1,1,1,0,20201214,20210211
7532,1,1,1,1,1,1,0,20201113,20201212
8216,1,1,1,1,0,1,0,20201116,20201212
359,1,1,1,1,1,0,0,20201214,20210211
121,1,1,1,1,1,0,0,20201113,20201211
360,1,1,1,1,1,0,1,20201213,20210211
7528,1,1,1,1,1,0,1,20201113,20201211
776,0,0,0,0,0,0,1,20201122,20201206
370,0,0,0,0,0,0,1,20201213,20210207
4339,1,1,1,1,1,1,1,20201113,20201212
4855,1,1,1,1,1,1,1,20201113,20201212
3012,1,1,1,1,1,1,1,20201113,20201212
4679,1,1,1,1,1,1,1,20201113,20201212
7789,1,1,1,1,1,1,1,20201113,20201212
7955,1,1,1,1,1,1,0,20201113,20201212
7868,1,1,1,1,0,1,0,20201116,20201212
7869,1,1,1,1,0,1,0,20210104,20210206
7848,1,1,1,1,1,1,1,20201213,20210211
1087,1,1,1,1,1,1,1,20201113,20201212
247,0,0,0,0,0,0,1,20201115,20201206
8217,0,0,0,0,0,0,1,20201213,20210207
8218,0,0,0,0,0,0,1,20201213,20210207
8219,0,0,0,0,1,1,0,20201225,20210101
812,0,0,0,0,0,0,1,20201213,20210207
8220,0,0,0,0,1,1,0,20201225,20210101
8221,0,0,0,0,1,1,0,20201225,20210101
8222,0,0,0,0,0,0,1,20201213,20210207
8223,0,0,0,0,0,0,1,20201213,20210207
8224,0,0,0,0,0,0,1,20201213,20210207
8225,0,0,0,0,1,1,0,20201225,20210101
8226,0,0,0,0,0,0,1,20201213,20210207
8227,0,0,0,0,0,0,1,20201213,20210207
8228,0,0,0,0,0,0,1,20201213,20210207
8229,0,0,0,0,1,1,0,20201225,20210101
8230,0,0,0,0,0,0,1,20201213,20210207
8231,0,0,0,0,1,1,0,20201225,20210101
8232,0,0,0,0,1,1,0,20201225,20210101
8233,0,0,0,0,1,1,0,20201225,20210101
8234,0,0,0,0,1,1,0,20201225,20210101
