service_id,date,exception_type
285,20201115,1
7531,20201219,2
7531,20201221,2
7531,20201222,2
7531,20201223,2
7531,20201224,2
7531,20201226,2
7531,20201228,2
7531,20201229,2
7531,20201230,2
7531,20201231,2
7531,20210102,2
7170,20201127,2
7170,20201115,2
7521,20201123,2
7521,20201124,2
7521,20201125,2
7521,20201126,2
7521,20201127,2
7521,20201114,2
7521,20201115,2
362,20201225,2
362,20210101,2
7532,20201128,2
7532,20201114,2
262,20201114,1
359,20201225,2
359,20210101,2
7528,20201115,2
370,20201225,1
370,20210101,1
4339,20201114,2
4339,20201115,2
4855,20201114,2
4855,20201115,2
3012,20201127,2
3012,20201114,2
3012,20201115,2
4679,20201114,2
4679,20201115,2
7789,20201126,2
7789,20201114,2
7789,20201115,2
7955,20201126,2
7955,20201127,2
7955,20201114,2
7868,20201123,2
7868,20201124,2
7868,20201125,2
7868,20201126,2
7869,20201214,1
7869,20201215,1
7869,20201216,1
7869,20201217,1
7869,20201219,2
7869,20210201,2
7869,20210202,2
7869,20210203,2
7869,20210204,2
1087,20201114,2
1087,20201115,2
812,20201225,1
812,20201226,1
812,20210101,1
2481,20201224,2
3458,20201225,2
868,20201224,2
868,20201225,2
868,20201231,2
868,20210101,2
4153,20210101,2
4153,20201225,2
4153,20201226,2
8237,20201226,1
8237,20210101,1
1749,20201231,1
1749,20201224,1
1749,20201226,2
8238,20210101,2
8238,20201225,2
8238,20201226,2
8239,20201224,1
8241,20201224,2
8242,20201231,2
8242,20210101,2
8242,20201224,2
8242,20201225,2
8242,20201226,2
8244,20201116,2
8245,20201219,1
8247,20201225,1
8247,20210101,1
8248,20201225,2
8248,20210101,2
388,20201225,2
388,20210101,2
8250,20201219,1
8254,20201224,2
8254,20201231,2
8255,20201224,1
8255,20201231,1
8255,20201225,2
8255,20210101,2
8256,20201225,2
8256,20210101,2
8257,20201225,1
8257,20210101,1
8258,20201225,2
8258,20210101,2
8259,20201225,2
8259,20210101,2
8260,20201224,1
8260,20201231,1
8260,20201225,2
8260,20210101,2
8261,20201225,2
8261,20210101,2
8262,20201225,1
8262,20210101,1
8264,20201225,1
8264,20210101,1
8265,20201225,1
8265,20210101,1
8266,20201225,2
8266,20210101,2
8269,20201225,2
8269,20210101,2
8270,20201225,2
8270,20210101,2
8272,20210109,1
8272,20210116,1
8272,20210123,1
8273,20201225,1
8273,20210101,1
8275,20201224,1
8275,20201231,1
8275,20201225,2
8275,20210101,2
1388,20210130,1
1096,20210206,1
8278,20210130,2
8278,20210206,2
8280,20210130,2
8280,20210206,2
8281,20201213,1
8281,20201219,1
8281,20201220,1
8281,20201225,1
8281,20201226,1
8281,20201227,1
8281,20210101,1
8281,20210102,1
8281,20210103,1
8281,20210131,1
8281,20210207,1
8282,20201225,2
8282,20210101,2
8284,20210109,1
8284,20210116,1
8284,20210123,1
8286,20201225,2
8286,20210101,2
8288,20201225,1
8288,20210101,1
8288,20210123,2
271,20210123,1
8289,20201225,2
8289,20210101,2
8290,20201225,1
8290,20210101,1
8290,20210123,2
8290,20210124,2
8291,20201225,2
8291,20210101,2
8292,20201225,2
8292,20210101,2
8293,20201225,2
8293,20210101,2
8294,20201225,1
8294,20210101,1
8294,20210123,2
8295,20210130,1
8295,20210206,1
8295,20201219,1
8295,20201225,1
8295,20201226,1
8295,20210101,1
8295,20210102,1
8296,20201224,2
8296,20201231,2
8298,20201224,1
8298,20201231,1
8298,20201225,2
8298,20210101,2
1933,20210124,1
8299,20201225,2
8299,20210101,2
288,20201225,1
288,20210101,1
288,20210123,2
288,20210124,2
8300,20201225,2
8300,20210101,2
8301,20201225,2
8301,20210101,2
8302,20201225,2
8302,20210101,2
8303,20210101,2
8303,20201221,2
8303,20201222,2
8303,20201223,2
8303,20201224,2
8303,20201225,2
8303,20210118,2
8303,20210119,2
8303,20210120,2
8303,20210121,2
8303,20210122,2
304,20210130,1
304,20210206,1
304,20201219,1
304,20201225,1
304,20201226,1
304,20210101,1
304,20210102,1
2119,20210124,2
8304,20201221,1
8304,20201222,1
8304,20201223,1
8304,20201224,1
8304,20210118,1
8304,20210119,1
8304,20210120,1
8304,20210121,1
8304,20210122,1
8305,20201225,1
8305,20210101,1
8305,20210123,2
8305,20210124,2
8306,20210130,1
8306,20210206,1
8306,20201219,1
8306,20201225,1
8306,20201226,1
8306,20210101,1
8306,20210102,1
8307,20201225,2
8307,20210101,2
8309,20210124,2
8310,20201225,1
8310,20210101,1
8310,20210123,2
8310,20210124,2
8311,20201224,1
8311,20201231,1
8311,20201225,2
8311,20210101,2
8312,20201224,2
8312,20201231,2
8313,20201224,1
8313,20201231,1
8313,20201225,2
8313,20210101,2
8315,20201224,2
8315,20201231,2
8317,20201224,1
8317,20201231,1
8317,20201225,2
8317,20210101,2
8318,20201224,1
8318,20201231,1
8318,20201225,2
8318,20210101,2
8319,20201224,2
8319,20201231,2
8320,20201224,1
8320,20201231,1
8320,20201225,2
8320,20210101,2
8321,20201224,1
8321,20201231,1
8321,20201225,2
8321,20210101,2
8322,20201225,1
8322,20210101,1
8322,20210123,2
8323,20201224,2
8323,20201231,2
8324,20210124,1
8325,20210124,2
8326,20201224,1
8326,20201231,1
8326,20201225,2
8326,20210101,2
8328,20210101,2
8328,20201222,2
8328,20201224,2
8328,20201225,2
8328,20210119,2
8328,20210121,2
8328,20210122,2
8328,20210124,2
8329,20201222,1
8329,20201224,1
8329,20210119,1
8329,20210121,1
8329,20210122,1
8330,20201221,1
8330,20201223,1
8330,20210118,1
8330,20210120,1
8331,20201221,2
8331,20201223,2
8331,20210118,2
8331,20210120,2
8332,20201225,2
8332,20210101,2
8333,20210123,2
8333,20201225,2
8333,20210101,2
8334,20201224,1
8334,20201231,1
8334,20201225,2
8334,20210101,2
8335,20201224,1
8335,20201231,1
8335,20201225,2
8335,20210101,2
8336,20210124,2
8337,20210123,1
8338,20210130,1
8338,20210206,1
8338,20201219,1
8338,20201225,1
8338,20201226,1
8338,20210101,1
8338,20210102,1
3393,20201113,1
3393,20201116,1
3393,20201117,1
3393,20201118,1
3393,20201119,1
3393,20201120,1
3717,20201206,1
3715,20201127,1
3716,20201113,1
3716,20201120,1
8342,20201206,1
1856,20201207,1
2363,20201205,1
2363,20201212,1
2564,20201205,1
2564,20201212,1
8344,20201206,1
1062,20201123,2
1062,20201124,2
1062,20201125,2
1062,20201126,2
8354,20201206,1
8355,20201205,1
8355,20201212,1
3723,20201113,1
3723,20201116,1
3723,20201117,1
3723,20201118,1
3723,20201119,1
3723,20201120,1
4045,20201123,2
4045,20201124,2
4045,20201125,2
4045,20201126,2
1173,20201206,1
8359,20201206,1
8360,20201205,1
8360,20201212,1
8361,20210130,1
8361,20210206,1
8361,20201219,1
8361,20201225,1
8361,20201226,1
8361,20210101,1
8361,20210102,1
8362,20210124,2
8363,20210124,1
8366,20210123,2
8366,20210124,2
8367,20210124,2
8368,20210123,1
8369,20210130,1
