route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCE156702,285,OCESN875708F1301392675,"875708",0,,
OCE156702,7522,OCESN875708F1001092676,"875708",0,,
OCE156702,413,OCESN875708F1201292674,"875708",0,,
OCE156702,7500,OCESN875704F1401492672,"875704",0,,
OCE156702,7531,OCESN875710F0900992680,"875710",0,,
OCE156702,7170,OCESN875712F0600692681,"875712",0,,
OCE156702,7521,OCESN875708F0600692677,"875708",0,,
OCE156702,362,OCESN875700F1301392665,"875700",0,,
OCE156702,7532,OCESN875700F0900992666,"875700",0,,
OCE156702,262,OCESN875700F1801892664,"875700",0,,
OCE156702,8216,OCESN875710F05005~TER110328,"875710",0,,
OCE156702,7521,OCESN875704F0500592670,"875704",0,,
OCE156702,285,OCESN875704F1901992671,"875704",0,,
OCE156702,262,OCESN875704F1801892669,"875704",0,,
OCE156702,359,OCESN875702F1501592667,"875702",0,,
OCE156702,121,OCESN875702F1001092668,"875702",0,,
OCE156702,360,OCESN875718F1001092690,"875718",0,,
OCE156702,7528,OCESN875718F0500592691,"875718",0,,
OCE156702,776,OCESN875720F0500592693,"875720",0,,
OCE156702,370,OCESN875720F1301392692,"875720",0,,
OCE156702,285,OCESN875712F1701792683,"875712",0,,
OCE156702,360,OCESN875712F1201292682,"875712",0,,
OCE156702,413,OCESN875716F1101192687,"875716",0,,
OCE156702,4339,OCESN875716F0600692685,"875716",0,,
OCE156702,4855,OCESN875736F1801892707,"875736",0,,
OCE156702,413,OCESN875736F1001092708,"875736",0,,
OCE156702,285,OCESN875736F1401492704,"875736",0,,
OCE156702,262,OCESN875740F1801892712,"875740",0,,
OCE156702,3012,OCESN875744F0800892722,"875744",0,,
OCE156702,4679,OCESN875742F1701792721,"875742",0,,
OCE156702,262,OCESN875744F1501592725,"875744",0,,
OCE156702,413,OCESN875744F1101192724,"875744",0,,
OCE156702,413,OCESN875742F1201292720,"875742",0,,
OCE156702,7789,OCESN875740F0800892716,"875740",0,,
OCE156702,413,OCESN875740F1301392715,"875740",0,,
OCE156702,262,OCESN875742F0400492717,"875742",0,,
OCE156702,362,OCESN875730F1501592698,"875730",0,,
OCE156702,7955,OCESN875730F2102192700,"875730",0,,
OCE156702,7868,OCESN875734F1701792703,"875734",0,,
OCE156702,7869,OCESN875734F1201292702,"875734",0,,
OCE156702,121,OCESN875746F0500592727,"875746",0,,
OCE156702,359,OCESN875746F1101192728,"875746",0,,
OCE156702,7848,OCESN875748F0800892729,"875748",0,,
OCE156702,285,OCESN875748F0300392731,"875748",0,,
OCE156702,1087,OCESN875748F1301392730,"875748",0,,
OCE156702,262,OCESN875736F0300392705,"875736",0,,
OCE156702,262,OCESN875734F0500592701,"875734",0,,
OCE156702,285,OCESN875740F1701792714,"875740",0,,
OCE156702,262,OCESN875716F1501592686,"875716",0,,
OCE156702,285,OCESN875720F1601692694,"875720",0,,
OCE849853,247,OCESN832501F0200276648,"832501",1,,
OCE849853,8217,OCESN832501F0500576647,"832501",1,,
OCE849853,8218,OCESN832503F0500576651,"832503",1,,
OCE849853,247,OCESN832503F0200276652,"832503",1,,
OCE849853,247,OCESN832505F0200276656,"832505",1,,
OCE849853,8219,OCESN832503F05005~TER110321,"832503",1,,
OCE849853,812,OCESN832507F0400476659,"832507",1,,
OCE849853,8220,OCESN832501F05005~TER110319,"832501",1,,
OCE849853,8221,OCESN832505F05005~TER110323,"832505",1,,
OCE849853,8222,OCESN832505F0500576655,"832505",1,,
