Geo Point;Geo Shape;infobulle;nom;ligne;etat;type;en_service;couvert;commune
43.5699610441,1.39227799719;"{""type"": ""MultiPoint"", ""coordinates"": [[1.392277997188567, 43.569961044099955]]}";"BASSO CAMBO Ligne A";BASSO CAMBO;A;Existant;Metro;1993;Aérien;TOULOUSE
43.566071979,1.39805547109;"{""type"": ""MultiPoint"", ""coordinates"": [[1.398055471086717, 43.56607197901039]]}";"BELLEFONTAINE Ligne A";BELLEFONTAINE;A;Existant;Metro;1993;Souterrain;TOULOUSE
43.5746729693,1.40200170944;"{""type"": ""MultiPoint"", ""coordinates"": [[1.402001709438391, 43.574672969280904]]}";"MIRAIL - UNIVERSITE Ligne A";MIRAIL - UNIVERSITE;A;Existant;Metro;1993;Souterrain;TOULOUSE
43.5834842368,1.41513773961;"{""type"": ""MultiPoint"", ""coordinates"": [[1.41513773961216, 43.583484236785445]]}";"MERMOZ Ligne A";MERMOZ;A;Existant;Metro;1993;Souterrain;TOULOUSE
43.6000809994,1.44393800043;"{""type"": ""MultiPoint"", ""coordinates"": [[1.443938000428934, 43.60008099938832]]}";"ESQUIROL Ligne A";ESQUIROL;A;Existant;Metro;1993;Souterrain;TOULOUSE
43.6063447526,1.44985405218;"{""type"": ""MultiPoint"", ""coordinates"": [[1.449854052184684, 43.60634475261576]]}";"JEAN JAURES Ligne A";JEAN JAURES;A;Existant;Metro;1993;Souterrain;TOULOUSE
43.5923235038,1.44464878939;"{""type"": ""MultiPoint"", ""coordinates"": [[1.444648789390657, 43.59232350383389]]}";"PALAIS DE JUSTICE Ligne B";PALAIS DE JUSTICE;B;Existant;Metro;2007;Souterrain;TOULOUSE
43.5976421885,1.44562547958;"{""type"": ""MultiPoint"", ""coordinates"": [[1.445625479577939, 43.597642188535765]]}";"CARMES Ligne B";CARMES;B;Existant;Metro;2007;Souterrain;TOULOUSE
43.6105884064,1.43555295039;"{""type"": ""MultiPoint"", ""coordinates"": [[1.435552950392135, 43.6105884064344]]}";"COMPANS-CAFFARELLI Ligne B";COMPANS-CAFFARELLI;B;Existant;Metro;2007;Souterrain;TOULOUSE
43.6406487947,1.45260006591;"{""type"": ""MultiPoint"", ""coordinates"": [[1.452600065907514, 43.64064879466362]]}";"BORDEROUGE Ligne B";BORDEROUGE;B;Existant;Metro;2007;Souterrain;TOULOUSE
43.5955830532,1.4014521846;"{""type"": ""MultiPoint"", ""coordinates"": [[1.401452184599861, 43.595583053231664]]}";"TOEC Ligne C";TOEC;C;Existant;Train;1993;Aérien;TOULOUSE
43.5874941628,1.41839392907;"{""type"": ""MultiPoint"", ""coordinates"": [[1.418393929072917, 43.587494162819496]]}";"FONTAINE LESTANG Ligne A";FONTAINE LESTANG;A;Existant;Metro;1993;Souterrain;TOULOUSE
43.5798543484,1.4421122251;"{""type"": ""MultiPoint"", ""coordinates"": [[1.442112225100524, 43.57985434837079]]}";"EMPALOT Ligne B";EMPALOT;B;Existant;Metro;2007;Souterrain;TOULOUSE
43.6203379172,1.43586470129;"{""type"": ""MultiPoint"", ""coordinates"": [[1.43586470128956, 43.62033791723577]]}";"MINIMES - CLAUDE NOUGARO Ligne B";MINIMES - CLAUDE NOUGARO;B;Existant;Metro;2007;Souterrain;TOULOUSE
43.5965947675,1.38404977084;"{""type"": ""MultiPoint"", ""coordinates"": [[1.38404977084177, 43.596594767517026]]}";"LARDENNE Ligne C";LARDENNE;C;Existant;Train;1993;Aérien;TOULOUSE
43.5997765426,1.37182302576;"{""type"": ""MultiPoint"", ""coordinates"": [[1.37182302576004, 43.599776542556754]]}";"SAINT MARTIN DU TOUCH Ligne C";SAINT MARTIN DU TOUCH;C;Existant;Train;1993;Aérien;TOULOUSE
