Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0420574W;Ecole élémentaire Fauriel;ECOLE ELEMENTAIRE PUBLIQUE;FAURIEL ELEMENTAIRE;Public;16 cours Fauriel;;;42100;ST ETIENNE;Saint-Etienne;809164.0;6482149.1;EPSG:2154;45.43008612486574;4.396130601469769;Correcte;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4300861249,4.39613060147;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-07-05
0420674E;Ecole maternelle Soleil;ECOLE MATERNELLE PUBLIQUE;SOLEIL;Public;16 rue de Monteil;;;42000;ST ETIENNE;Saint-Etienne;809844.1;6484185.3;EPSG:2154;45.44830976452828;4.405290181974018;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4483097645,4.40529018197;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-07-16
0420693A;Ecole primaire d'application Beaulieu 1;ECOLE PRIMAIRE D APPLICATION;BEAULIEU LA TOUR PRIMAIRE;Public;20 rue Henri Dunant;;;42000;ST ETIENNE;Saint-Etienne;810187.6;6481848.7;EPSG:2154;45.42721785811953;4.409150402675103;Correcte;Numéro de rue;153;ECOLE ELEMENTAIRE D APPLICATION;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4272178581,4.40915040268;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-07-15
0420695C;Ecole maternelle Paillon;ECOLE MATERNELLE PUBLIQUE;PAILLON MATERNELLE;Public;2 A rue Basson;;;42000;ST ETIENNE;Saint-Etienne;807757.4;6482486.4;EPSG:2154;45.433345398218734;4.378220142549494;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4333453982,4.37822014255;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-07-15
0421038A;Collège privé Les Chartreux-Sainte Famille;COLLEGE PRIVE;LES CHARTREUX-SAINTE FAMILLE;Privé;36 rue DU VERNAY;;;42100;ST ETIENNE;Saint-Etienne;808894.7;6482160.1;EPSG:2154;45.43022797985373;4.392689640429036;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4302279799,4.39268964043;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1943-10-01
0421076S;Ecole maternelle Rosa Park;ECOLE MATERNELLE PUBLIQUE;ROSA PARKS MATERNELLE;Public;5 allée Rachel;;;42100;ST ETIENNE;Saint-Etienne;808021.4;6481433.7;EPSG:2154;45.42382618817036;4.381360506999007;Correcte;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4238261882,4.381360507;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1968-09-27
0421176A;Collège Jules Vallès;COLLEGE;JULES VALLES;Public;3  RUE DU PUITS THIBAUD;;;42000;ST ETIENNE;Saint-Etienne;809463.4;6483919.4;EPSG:2154;45.44597671688978;4.400360397819424;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4459767169,4.40036039782;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-04-10
0421329S;Ecole primaire privée Alix Le Clerc;ECOLE PRIMAIRE PRIVEE;ALIX LE CLERC;Privé;16 rue Jean-Francois Revollier;;;42000;ST ETIENNE;Saint-Etienne;807645.1;6484934.0;EPSG:2154;45.45539934535039;4.3773301044679025;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4553993454,4.37733010447;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-26
0421336Z;Ecole primaire privée St Ennemond;ECOLE PRIMAIRE PRIVEE;ST ENNEMOND;Privé;15 rue Saint Ennemond;;;42000;ST ETIENNE;Saint-Etienne;807979.7;6482653.9;EPSG:2154;45.434818463209005;4.3811002533036705;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4348184632,4.3811002533;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-26
0421337A;Ecole primaire privée de La Salle;ECOLE PRIMAIRE PRIVEE;ENSEMBLE SCOLAIRE LA SALLE;Privé;22 rue Désiré Claude;;;42000;ST ETIENNE;Saint-Etienne;808514.6;6481897.4;EPSG:2154;45.42792310010476;4.387770379164774;Correcte;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4279231001,4.38777037916;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-26
